Object ID,Ticket Number,Citation Issue Date,Citaton Issue Month,Citation Issue Time,Location,Violation Code,Violation,Fine Amount,Citation Status,Amount Paid,Amount Due,Suspend Code,Suspend Process Date,Suspend Until Date,Disposition Code,Last Edited Date,Geom
1,100029164,7/10/2008,,17:33,643 O'FARRELL,V22500H,DBL PARK,65,Closed, $                       -,0,731 731MP EXP,07/22/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7854374715, -122.415269816)"
2,100029166,7/10/2008,,15:27,372 O'FARRELL,V22500H,DBL PARK,65,Open,$65.00 ,85,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7861266189, -122.410893441)"
3,100029167,7/10/2008,,15:27,372 O'FARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7861266189, -122.410893441)"
4,100000050,7/11/2008,,19:17,924 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,07/23/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7861195844, -122.418544401)"
5,100029169,7/11/2008,,11:19,481 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7869192576, -122.411182556)"
6,100029170,7/11/2008,,13:17,467 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.786947382, -122.410962093)"
7,100029171,7/11/2008,,21:01,1008 GEARY,V22500H,DBL PARK,65,Closed, $                       -,0,83 83 PEND HE,10/19/2008 12:00:00 AM +0000,04/17/2009 12:00:00 AM +0000,201 HR UP NTPD,,"(37.7859435105, -122.419942037)"
8,100029172,7/11/2008,,13:21,898 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,91 P20 ENR,08/04/2008 12:00:00 AM +0000,11/25/2008 12:00:00 AM +0000, ,,"(37.7861799954, -122.418065891)"
9,100029173,7/11/2008,,18:50,1014 GEARY,T32A.1,TWAWY ZN#1,60,Open,$85.00 ,60,730 730TRNLN,07/19/2008 12:00:00 AM +0000,08/09/2008 12:00:00 AM +0000, ,,"(37.7859315917, -122.42003726)"
10,100029174,7/11/2008,,19:15,596 GEARY,V22500I,BUS ZONE,250,Open, $                       -,275, ,,, ,,"(37.7868095089, -122.413132892)"
11,100000061,7/18/2008,,11:21,528 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,51 DISMS CITE,08/17/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.786949044, -122.412039237)"
12,100000062,7/18/2008,,13:03,464 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7870869756, -122.410958059)"
13,100000067,7/18/2008,,13:03,666 GEARY,V22500I,BUS ZONE,250,Closed,$275.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7866632359, -122.414279274)"
14,100000069,7/18/2008,,11:02,687 OFARRELL,V22500I,BUS ZONE,250,Closed,$250.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7853397011, -122.416047466)"
15,100000063,7/19/2008,,18:51,944 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0,16 16 BUSZONE,11/11/2008 12:00:00 AM +0000,12/02/2008 12:00:00 AM +0000, ,,"(37.7860796561, -122.418861054)"
16,100000064,7/19/2008,,17:02,596 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0,83 83 PEND HE,10/23/2008 12:00:00 AM +0000,04/21/2009 12:00:00 AM +0000,6 HD HR DNID,,"(37.7868095089, -122.413132892)"
17,100000065,7/19/2008,,13:08,854 GEARY,V22500H,DBL PARK,65,Closed,$90.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7862682806, -122.417374176)"
18,100000066,7/19/2008,,15:01,854 GEARY,V22500I,BUS ZONE,250,Closed,$310.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000,26 COLFFDMV,,"(37.7862682806, -122.417374176)"
19,100000068,7/19/2008,,13:08,840 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,83 83 PEND HE,11/09/2008 12:00:00 AM +0000,05/08/2009 12:00:00 AM +0000,201 HR UP NTPD,,"(37.7862963699, -122.417154086)"
20,100000071,7/19/2008,,20:17,581 OFARRELL,V22500I,BUS ZONE,250,Closed, $                       -,0,121 121 OFFCAL,11/08/2009 12:00:00 AM +0000,11/08/2009 12:00:00 AM +0000,20 PROJECT 20,,"(37.7855615282, -122.414283019)"
21,100000072,7/19/2008,,18:51,928 GEARY,V22500I,BUS ZONE,250,Closed,$310.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.786111599, -122.418607731)"
22,100000074,7/20/2008,,13:28,5650 MISSION,V22500I,BUS ZONE,250,Closed,$250.00 ,0,803 803ELIGREF,09/09/2008 12:00:00 AM +0000,12/08/2008 12:00:00 AM +0000, ,,"(37.710799135, -122.447754977)"
23,100082625,7/20/2008,,16:33,2883 MISSION,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7509434029, -122.41824376)"
24,100082626,7/20/2008,,16:33,2813 MISSION,V22500H,DBL PARK,65,Closed, $                       -,0,731 731MP EXP,08/01/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7520175574, -122.418349442)"
25,100082627,7/20/2008,,14:49,2641 MISSION,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.754785023, -122.418611017)"
26,100082628,7/20/2008,,11:05,2815 MISSION,V22500H,DBL PARK,65,Closed,$65.00 ,0,730 730TRNLN,07/26/2008 12:00:00 AM +0000,08/16/2008 12:00:00 AM +0000, ,,"(37.7519868672, -122.418346423)"
27,100082629,7/23/2008,,12:27,951 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7859320614, -122.418928899)"
28,100082630,7/24/2008,,17:49,468 GEARY,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7870789411, -122.411021048)"
29,100082634,7/24/2008,,19:44,858 GEARY,V22500I,BUS ZONE,250,Closed, $                       -,0,731 731MP EXP,08/05/2008 12:00:00 AM +0000,12/30/1999 12:00:00 AM +0000, ,,"(37.7862602543, -122.417437059)"
